id,name,type,location,startDate,endDate,website,hostingTeams
"59895","2015 Siege of CNY","Invitational","Rome, NY","2015-03-28","2015-03-29","https://www.facebook.com/siegeofcny","3642"
"71430","2015 Skates of Glory","Seeded Bracket","Antwerp, Belgium","2015-11-07","2015-11-08","http://skatesofglory.com/","11037"
"59513","2015 Slip It","Invitational","Caen, France","2015-01-17","2015-01-18","","19122"
"63085","2015 Southern Discomfort","Invitational","Columbia, SC","2015-04-25","2015-04-26","https://www.facebook.com/events/1413691438942723/","7696"
"70665","2015 Spokarnage","Invitational","Spokane, WA","2015-08-14","2015-08-16","http://www.spokarnage.com/","11470"
"63408","2015 Spring BreakHer Out JRDA Jr Tournament","Invitational","","2015-04-11","2015-04-12","",""
"60262","2015 Spring Roll","Invitational","Fort Wayne, IA","2015-05-15","2015-05-17","http://fortwaynespringroll.com/","3411"
"56377","2015 Spudtown Knockdown","Invitational","Garden City, Idaho","2015-04-25","2015-04-26","http://www.spudtownknockdown.com","5920"
"60516","2015 Suomi Cup","Invitational","Finland","2015-01-01","2015-01-01","http://www.rollerderbyfinland.com/suomi-cup/otteluohjelma/suomi-cup-2015/",""
"73313","2015 The Great Midwest Mashup","Invitational","Springfield, IL","2015-08-28","2015-08-29","http://thegreatmidwestmashup.com/",""
"62590","2015 Tinseltown Showdown","Invitational","Culver City, CA","2015-04-25","2015-04-26","http://angelcityderby.com/events/tinseltown-showdown-2015/","3420"
"64820","2015 Tri-Wizard Roller Derby Tournament","Invitational","Hurstville, NSW, Australia","2015-05-30","2015-05-30","","47425"
"68669","2015 Tropicarnage Cup","Invitational","Morayfield, Queensland, Australia","2015-10-03","2015-10-05","https://www.facebook.com/events/1650314108538479/",""
"64520","2015 United We Roll","Invitational","Fairbanks, AK","2015-05-15","2015-05-16","","4743"
"68567","2015 USARS National Championships","Championship","Philadelphia, PA","2015-08-28","2015-08-30","http://www.teamusa.org/USA-Roller-Sports/Features/2015/April/27/2015-USARS-Roller-Derby-National-Championships","27355"
"61621","2015 Virginia is for Shovers","Invitational","","2015-07-25","2015-07-26","",""
"71479","2015 War of the Wheels","Invitational","Salina, KS","2015-11-06","2015-11-08","","29776"
"69344","2015 WFTDA Championships","Championship","St. Paul, MN","2015-11-06","2015-11-08","http://wftda.com/tournaments/2015/championships","3428"
"59148","2015 WFTDA Division 1 Playoff 1","Seeded Bracket","Tucson, AZ","2015-09-04","2015-09-06","http://wftda.com/tournaments/2015/tucson","3398"
"59149","2015 WFTDA Division 1 Playoff 2","Seeded Bracket","Dallas, TX","2015-09-11","2015-09-13","http://wftda.com/tournaments/2015/dallas","3400"
"59150","2015 WFTDA Division 1 Playoff 3","Seeded Bracket","Jacksonville, FL","2015-09-18","2015-09-20","http://wftda.com/tournaments/2015/jacksonville","3647"
"59151","2015 WFTDA Division 1 Playoff 4","Seeded Bracket","Omaha, NE","2015-10-02","2015-10-04","http://wftda.com/tournaments/2015/omaha","3452"
"59146","2015 WFTDA Division 2 Playoff 1","Seeded Bracket","Cleveland, OH","2015-08-21","2015-08-23","http://wftda.com/tournaments/2015/cleveland","3437"
"59147","2015 WFTDA Division 2 Playoff 2","Seeded Bracket","Dearborn Heights, MI","2015-08-28","2015-08-30","http://wftda.com/tournaments/2015/detroit","3392"
"59783","2015 Wild West Showdown","Invitational","Bremerton, Washington","2015-02-27","2015-03-01","http://www.wildwestshowdown2015.com/","3451"
"62536","2015 Winter Wipeout","Seeded Bracket","Mount Forest, ON, Canada","2015-03-28","2015-03-28","","27573"
