id,name,shortName,abbreviation,teamType,location,website,parentLeague,establishedDate,disbandedDate,genus,domain
"12461","Denali Destroyers","Destroyer Dolls","DD","Travel Team","Wasilla, AK","http://denalidestroyers.org/","","2010-01-01","","Womens","USA"
"9428","Denim Demons","","","Home Team","","http://www.atlantarollergirls.com/site_admin/arg-teams/denim-demons","3418","2005-01-01","","Womens","USA"
"3431","Denver Roller Derby","Denver","DRD","Travel Team","Denver, CO","http://www.denverrollerdolls.org/","","","","Womens","USA"
"55770","Denver Roller Derby (Men's)","Ground Control","DRD","Travel Team","Denver, CO","http://denverrollerdolls.org/skaters-staff/teams/ground-control/","","2014-07-01","","Mens","USA"
"46934","Denver Roller Dolls Junior Derby","Glitterdome Gladiators","DRDJ","Travel Team","Denver, CO","http://denverrollerdolls.org/skate-with-us/junior-derby/","","","2015-04-01","Junior","USA"
"51759","Denver Roller Dolls Junior Derby B Team","","","B Team","","","46934","","2014-07-20","Junior","USA"
"55425","Deportivo Morón Roller Derby","Deportivo Morón","DMRD","Travel Team","Morón, Buenos Aires, Argentina","https://www.facebook.com/DeportivoMoronRD/info","","2014-01-13","","Womens","South America"
"93288","Depredadoras Roller Derby","Depredadoras","DRD","Travel Team"," Veracruz, Mexico","https://www.facebook.com/pg/depredadorasrollerderby/","","2015-05-01","2016-12-31","Womens","South America"
"59141","Derailers","","","B Team","","","31990","","","Womens","USA"
"9494","Derailers","","","Home Team","","","5920","","2008-12-31","Womens","USA"
"12229","Derby Bliss Brigade","","","Home Team","","http://www.elpasorollerderby.com/DerbyBlissBrigade.html","8138","","","Womens","USA"
"3471","Derby City Roller Girls","Derby City","DCRG","Travel Team","Louisville, KY","http://www.derbycityrollergirls.com/","","","","Womens","USA"
"70716","Derby Club le Crès Lattes Montpellier","DCCLM","DCCLM","Travel Team","Montpellier, France","http://dcclm-roller-derby.fr/","","2015-08-01","","Womens","Europe"
"49786","Derby Club le Crès Lattes Montpellier (Co-ed)","Kamipouffes","DCCLM (Co-ed)","Travel Team","Montpellier, France","http://dcclm-roller-derby.fr/","","","2017-10-29","Coed","Europe"
"18090","Derby Club le Crès Lattes Montpellier (Men's)","Kamiquadz","DCCLM (M)","Travel Team","Montpellier, France","http://dcclm-roller-derby.fr/","","2011-01-01","2021-12-05","Mens","Europe"
"44352","Derby Darlings","","","B Team","","","9078","","2015-11-11","Womens","USA"
"59622","Derby Demolition","Derby Demolition","DDFW","Travel Team","Dallas/Ft. Worth, TX","http://www.derbydemolition.com/","","2014-01-01","2017-01-01","Womens","USA"
"7968","Derby Intelligence Agency","","","Home Team","","http://dukecityderby.com/?page_id=9","3406","","2012-01-01","Womens","USA"
"7830","Derby Liberation Front","","","Home Team","","http://ratcityrollergirls.com/teams/derby-liberation-front/","3403","","","Womens","USA"
"3644","Derby Revolution of Bakersfield","Bakersfield","DRB","Travel Team","Bakersfield, CA","http://myderbyrevolution.com","","","2016-12-29","Womens","USA"
"47396","Derby Revolution of Bakersfield Junior Derby","DRB Jr.","DRBJ","Travel Team","Bakersfield, CA","","","","2014-09-22","Junior","USA"
"26183","Derby Roller Provence Méditerranée","Provence Méditerranée","DRPM","Travel Team","Toulon, France","http://www.rpm-club.fr/","","","","Womens","Europe"
"95959","Derby Witches","Derby Witches","DW","Travel Team","Pachuca, Hidalgo, Mexico","https://www.facebook.com/pg/DerbyWitches/","","2017-01-01","","Womens","South America"
"39968","Des Moines Derby Brats","Des Moines Derby Brats","DMDB","Travel Team","Des Moines, IA","https://www.facebook.com/pages/DES-Moines-Derby-Brats/158936677458597?id=158936677458597&sk=info","","2010-10-06","","Junior","USA"
"47389","Des Moines Derby Brats B Team","","","B Team","","","39968","","2014-06-30","Junior","USA"
"5914","Des Moines Derby Dames","Des Moines","D3","Travel Team","Des Moines, IA","http://www.dmderbydames.com/","","","2015-12-09","Womens","USA"
"29611","Des Moines Roller Derby","Des Moines","DMRD","Travel Team","Des Moines, IA","http://www.teamunitedrollerderby.com/","","2013-01-01","","Womens","USA"
"87437","Desalmadas Roller Derby","Desalmadas","DRD","Travel Team","Avellaneda, Buenos Aires, Argentina","https://www.facebook.com/desalmadasrd/","","","","Womens","South America"
"9723","Desert Dolls Roller Derby","Desert Dolls","DDRD","Travel Team","Phoenix, AZ","http://www.desertdollsrollerderby.com/","","","2017-10-28","Womens","USA"
"8874","Desert Phantoms","","","Home Team","","","3399","","","Womens","USA"
"56182","Deserticons Roller Derby","Deserticons","JRD (M)","Travel Team","Ciudad Juárez, Chihuahua, Mexico","https://www.facebook.com/deserticonsrd/","","2012-05-30","","Mens","South America"
"56119","Deskarriadas Roller Derby","Deskarriadas","DRD","Travel Team","Osorno, Los Lagos, Chile","https://www.facebook.com/deskarriadas.rollerderby/about","","","","Womens","South America"
"91229","Deskarriados Roller Derby","Deskarriados","DRD","Travel Team","Osorno, Los Lagos, Chile","https://www.facebook.com/pg/losdeskarriados.rollerderby/","","2015-06-01","","Mens","South America"
"101008","Desperados","","","B Team","","","62502","","","Womens","USA"
"8484","Destruction Dames","","","B Team","","","3625","","","Womens","USA"
"22261","Destruction Workers","","","Home Team","","","10399","","2012-01-01","Mens","USA"
"56327","Destruction Zone","","","Home Team","","","56292","","2016-02-01","Womens","USA"
"20894","Detroit Men's Roller Derby","Detroit Riot","DETR","Travel Team","Detroit, MI","","","","","Mens","USA"
"8815","Detroit Pistoffs","","","Home Team","","http://detroitderbygirls.com/detroitpistoffs/index.html","3392","","","Womens","USA"
