lace,number,name,laps,minlap,avglap,lastlap,lap1,lap2,lap3,lap4,lap5,total
1st,545,Callum Duvollet,2,0:25:12.5,0:25:23.7,0:25:12.5,0:25:34.9,0:25:12.5, , , ,0:50:47.4
2nd,3311,Simon McElduff,2,0:25:43.9,0:26:21.3,0:26:58.7,0:25:43.9,0:26:58.7, , , ,0:52:42.6
3rd,523,Jimmy Kramer,2,0:29:44.6,0:30:13.9,0:29:44.6,0:30:43.2,0:29:44.6, , , ,1:00:27.8
4th,306,Clint Musgrove,2,0:33:19.5,0:34:28.9,0:35:38.3,0:33:19.5,0:35:38.3, , , ,1:08:57.8
