lace,number,name,laps,minlap,avglap,lastlap,lap1,lap2,lap3,lap4,lap5,total
1st,3224,Jay,Gibson,5,0:19:33.4,0:19:50.5,0:20:11.5,0:19:33.4,0:19:37.4,0:19:53.8,0:19:56.2,0:20:11.5,1:39:12.5
2nd,2086,Rodney,Rae,5,0:20:09.3,0:20:24.9,0:20:43.8,0:20:18.3,0:20:09.3,0:20:32.3,0:20:21.0,0:20:43.8,1:42:04.9
