cat,position,name,lap1,lap2,lap3,lap4,lap5,avglap,minlap,total
A, 1,SCOTT REYNOLDS,15:12,15:40,15:39,15:45,, ,,01:15:57
A, 2,CAMERON WINFIELD,13:57,16:14,16:05,15:52,16:06, ,,01:18:13
A, 3,DAVID WINFIELD,14:50,16:07,16:25,16:07,15:55, ,,01:19:23
A, 4,PETER MILOSTIC,14:58,16:17,16:23,16:03,15:51, ,,01:19:32
A, 5,DAVID LUDENIA,14:41,16:15,16:34,17:12,17:06, ,,01:21:48
A, 6,PAT HOWARD,15:43,16:56,17:04,17:01,16:37, ,,01:23:21
A, 7,BRETT JOHNSTONE,15:33,17:08,17:02,17:02,16:54, ,,01:23:38
A, 8,STEPHEN TOMCZYK,16:02,16:57,17:17,17:09,17:01, ,,01:24:25
A, 9,SCOTT CAMPBELL,16:16,17:02,17:13,17:01,16:57, ,,01:24:29
A, 10,LINDON MILOSTIC,15:42,17:12,17:36,17:07,17:00, ,,01:24:37
A, 11,SIMON EBBELING,16:01,17:37,17:40,18:31,18:48, ,,01:28:37
A, 12,SIMON GAUDIN,17:23,18:33,18:58,19:01,18:52, ,,01:32:47
B, 1,MARK GREENAWAY,17:01,17:13,16:58,,, ,,01:06:58
B, 2,CHRISTOPHER CHEW,15:48,17:01,17:13,16:59,, ,,01:07:01
B, 3,BENJAMIN KNUTSEN,16:18,18:01,18:14,17:46,, ,,01:10:19
B, 4,MARK O'CONNOR,17:06,18:42,19:02,19:48,, ,,01:14:39
B, 5,ADRIAN AZZOPARDI,17:22,19:11,20:17,20:15,, ,,01:17:04
B, 6,RYAN MADDEN,17:21,20:18,20:07,20:16,, ,,01:18:02
B, 7,MATTHEW ROBERTS,17:07,20:24,20:47,20:04,, ,,01:18:21
B, 8,ALEX MURPHY,18:31,20:44,21:04,21:19,, ,,01:21:38
B, 9,TYREN DODGEN,18:12,20:24,22:05,22:28,, ,,01:23:09
B, 10,MATT PADULA,19:46,21:56,23:22,24:24,, ,,01:29:28
WB, 1,FIONA DEISEL,24:11,24:13,,,, ,,01:10:34
WB, 2,JUNO SMITH,22:11,25:26,24:33,,, ,,01:12:10
WB, 4,LIZY TIMM,25:19,28:23,28:17,,, ,,01:21:59
C, 1,GIUSEPPE SPINELLI,18:41,18:25,,,, ,,00:54:00
C, 2,ANTHONY DEISEL,16:53,18:41,18:29,,, ,,00:54:04
C, 3,OLIVER RUTHERFORD,17:24,19:03,17:40,,, ,,00:54:07
C, 4,GRANT SOLOMON,16:54,18:41,18:34,,, ,,00:54:09
C, 5,LUKE TUBB,18:27,19:23,19:46,,, ,,00:57:37
C, 6,LEWIS DANIELS,19:11,20:34,20:20,,, ,,01:00:04
C, 7,JAMES SIRMAIS,18:59,20:40,20:42,,, ,,01:00:21
C, 8,EVAN CRATCHLEY,18:42,20:55,20:55,,, ,,01:00:33
C, 9,ROB TWYEROULD,19:17,21:16,21:06,,, ,,01:01:38
C, 10,RILEY MILOSTIC,17:58,21:51,22:42,,, ,,01:02:31
C, 11,GREGORY DUTTON,20:39,21:34,21:45,,, ,,01:03:57
C, 12,MATHEW CORBETT,19:51,22:36,23:51,,, ,,01:06:18
C, 13,BRODIE FLEMING,21:12,23:45,25:53,,, ,,01:10:51
C, 14,PAUL CURREN,20:39,24:59,26:02,,, ,,01:11:40
WC, 1,HANNAH GIANATTI,22:35,,,,, ,,00:44:06
WC, 2,LEANNE VANDER-MERWE,24:39,26:26,,,, ,,00:51:05
WC, 3,RENEE FLEMING,29:40,33:19,,,, ,,01:02:59
D, 1,TOMAS MANWARING,19:18,,,,, ,,00:39:06
D, 2,BENJAMIN EBBELING,19:08,20:41,,,, ,,00:39:49
D, 3,PAUL DWYER,19:18,20:50,,,, ,,00:40:09
D, 4,CRAIG BINKS,20:26,20:30,,,, ,,00:40:56
D, 5,BEN COLLINS,20:46,20:11,,,, ,,00:40:57
D, 6,ZAC TYDEMAN,20:42,22:25,,,, ,,00:43:08
D, 7,BALAZS TOTH,20:57,22:18,,,, ,,00:43:15
D, 8,JASON FLEMING,21:09,23:03,,,, ,,00:44:12
D, 9,CHRIS RAYNER,22:42,23:47,,,, ,,00:46:29
D, 10,COBY MCINTOSH,22:15,24:59,,,, ,,00:47:13
D, 11,GEORGE DYKE,23:36,26:29,,,, ,,00:50:05
D, 12,HARRISEN WALDEN,23:47,26:19,,,, ,,00:50:06
D, 13,PAUL GLINN,23:48,26:19,,,, ,,00:50:07
D, 14,STEVE HUMPHREYS,27:40,33:08,,,, ,,01:00:48
